time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
109422301, -0.028730, +0.196325, +9.701305, -0.027670, -0.010642, +0.002128, +67.731445, +0.537891, +36.003516, -0.043071, +0.114855, +9.525827, -0.043982, -0.007330, +0.042761, +53.940000, -37.526000, +55.332000,
109523369, -0.076614, +0.330400, +9.739612, -0.026606, -0.011706, +0.002128, +68.982422, +1.075781, +36.175781, -0.000000, +0.086142, +9.647861, -0.045204, -0.003665, +0.034208, +53.650000, -37.584000, +55.390000,
109624423, -0.028730, +0.244209, +9.730036, -0.024477, -0.005321, +0.001064, +69.339844, +1.075781, +37.209375, -0.000000, +0.035892, +9.583255, -0.045204, -0.002443, +0.041539, +53.824000, -37.294000, +55.564000,
109725486, -0.067038, +0.287304, +9.667786, -0.026606, -0.014899, +0.000000, +68.088867, -0.179297, +37.037109, -0.057428, +0.100499, +9.640682, -0.047647, -0.007330, +0.037874, +53.418000, -37.468000, +55.042000,
109826535, -0.057461, +0.268151, +9.701305, -0.023413, -0.010642, +0.002128, +68.088867, -0.179297, +37.037109, -0.093320, +0.086142, +9.662218, -0.043982, -0.008552, +0.041539, +53.708000, -37.120000, +55.970000,
109927627, -0.138864, +0.148441, +9.691728, -0.025541, -0.014899, +0.003193, +68.088867, +0.896484, +36.003516, -0.172283, +0.157926, +9.518648, -0.048869, -0.003665, +0.045204, +53.824000, -37.294000, +56.840000,
110028708, -0.047884, +0.296881, +9.720459, -0.025541, -0.012771, +0.001064, +68.803711, -0.179297, +37.381641, -0.179462, +0.129212, +9.583255, -0.045204, -0.006109, +0.034208, +53.998000, -37.294000, +55.796000,
110129792, -0.191536, +0.301669, +9.749189, -0.024477, -0.014899, +0.002128, +69.875977, +1.972266, +37.037109, -0.057428, +0.086142, +9.734002, -0.040317, -0.001222, +0.036652, +53.592000, -37.642000, +56.144000,
110230844, +0.124498, +0.282516, +9.677363, -0.024477, -0.010642, +0.004257, +68.446289, +1.613672, +36.348047, -0.000000, +0.043071, +9.511470, -0.040317, -0.007330, +0.035430, +53.824000, -37.874000, +55.796000,
110331929, -0.210690, +0.215478, +9.797073, -0.023413, -0.018092, +0.003193, +69.875977, +0.179297, +38.070703, -0.215354, +0.114855, +9.626325, -0.045204, +0.001222, +0.037874, +53.244000, -37.932000, +55.564000,
110432980, -0.081403, +0.143652, +9.773131, -0.024477, -0.010642, +0.003193, +69.875977, +0.179297, +38.070703, +0.007178, +0.150748, +9.604790, -0.042761, -0.006109, +0.035430, +52.432000, -36.946000, +55.738000,
110534049, -0.148441, +0.354342, +9.725247, -0.027670, -0.011706, +0.001064, +69.518555, +0.537891, +36.348047, -0.150748, +0.157926, +9.611968, -0.046426, -0.003665, +0.039095, +53.070000, -37.526000, +56.434000,
110635099, -0.052672, +0.378284, +9.701305, -0.027670, -0.010642, +0.003193, +69.875977, +1.613672, +37.037109, -0.035892, +0.157926, +9.583255, -0.047647, -0.013439, +0.036652, +53.128000, -37.874000, +56.376000,
110736178, -0.172383, +0.349553, +9.543288, -0.022349, -0.007450, +0.001064, +68.088867, +0.179297, +37.726172, -0.157926, +0.122034, +9.554541, -0.043982, -0.010996, +0.039095, +53.360000, -37.178000, +56.028000,
110837230, -0.090980, +0.268151, +9.696517, -0.024477, -0.013835, +0.003193, +69.161133, -0.179297, +37.726172, -0.043071, +0.086142, +9.540184, -0.047647, -0.001222, +0.037874, +53.534000, -37.526000, +56.840000,
110938445, -0.047884, +0.239420, +9.672575, -0.024477, -0.013835, +0.002128, +69.161133, -0.179297, +37.726172, -0.021535, +0.071785, +9.576076, -0.046426, -0.006109, +0.036652, +53.302000, -37.178000, +56.202000,
111039541, -0.086191, +0.363919, +9.715670, -0.026606, -0.009578, +0.001064, +68.625000, +1.075781, +36.864844, -0.064606, +0.186640, +9.533005, -0.047647, -0.009774, +0.041539, +52.838000, -37.352000, +55.912000,
111140640, -0.134075, +0.282516, +10.036493, -0.023413, -0.014899, +0.004257, +67.374023, -0.179297, +37.726172, -0.172283, +0.186640, +9.863215, -0.041539, -0.002443, +0.035430, +53.418000, -37.004000, +56.376000,
111241735, +0.105345, +0.215478, +9.959879, -0.023413, -0.019156, +0.003193, +69.518555, +1.255078, +36.348047, +0.050249, +0.035892, +9.870393, -0.043982, -0.007330, +0.040317, +53.476000, -37.526000, +56.144000,
111342805, -0.071826, +0.268151, +9.452308, -0.025541, -0.009578, -0.002128, +69.518555, +1.255078, +36.348047, -0.193819, +0.165105, +9.339187, -0.045204, -0.006109, +0.042761, +53.128000, -37.062000, +56.260000,
111443895, -0.067038, +0.215478, +9.624691, -0.028734, -0.011706, +0.003193, +69.518555, +1.255078, +36.348047, -0.093320, +0.157926, +9.561719, -0.048869, -0.010996, +0.040317, +53.534000, -37.294000, +55.970000,
111544961, -0.081403, +0.306458, +9.624691, -0.022349, -0.013835, +0.003193, +68.625000, +1.434375, +36.864844, -0.043071, +0.100499, +9.712467, -0.045204, -0.002443, +0.040317, +53.186000, -37.294000, +56.492000,
111646058, -0.067038, +0.220267, +9.610325, -0.025541, -0.011706, +0.002128, +68.088867, +1.972266, +36.348047, -0.093320, +0.136391, +9.590433, -0.047647, -0.006109, +0.037874, +52.548000, -37.410000, +55.158000,
111747129, -0.019154, +0.234632, +9.658209, -0.026606, -0.014899, +0.003193, +68.982422, +1.075781, +36.175781, -0.100499, +0.172283, +9.583255, -0.043982, -0.013439, +0.040317, +53.534000, -38.048000, +56.144000,
111848239, -0.196325, +0.263362, +9.677363, -0.024477, -0.011706, +0.004257, +68.267578, +1.792969, +38.587500, -0.200997, +0.114855, +9.676575, -0.046426, -0.010996, +0.039095, +52.780000, -37.120000, +56.956000,
111949310, -0.033519, +0.311246, +9.753978, -0.024477, -0.010642, +0.002128, +67.910156, +1.075781, +36.864844, -0.043071, +0.136391, +9.676575, -0.045204, -0.004887, +0.032987, +53.360000, -37.294000, +55.332000,
112050396, +0.028730, +0.229843, +9.854534, -0.025541, -0.013835, -0.002128, +67.910156, +1.075781, +36.864844, -0.028714, +0.050249, +9.769895, -0.041539, -0.003665, +0.039095, +52.954000, -38.048000, +55.622000,
112151455, -0.019154, +0.191536, +9.758766, -0.028734, -0.010642, +0.002128, +67.910156, +1.792969, +37.553906, +0.028714, +0.014357, +9.741181, -0.045204, -0.007330, +0.041539, +53.302000, -37.294000, +55.854000,
112252534, -0.019154, +0.306458, +9.653421, -0.026606, -0.012771, +0.004257, +69.875977, +1.613672, +37.381641, -0.014357, +0.100499, +9.640682, -0.041539, -0.006109, +0.041539, +53.244000, -37.932000, +56.144000,
112353599, -0.047884, +0.220267, +9.715670, -0.024477, -0.013835, +0.001064, +68.982422, -0.717187, +35.831250, -0.064606, +0.086142, +9.576076, -0.053756, +0.006109, +0.037874, +53.128000, -36.946000, +55.680000,
112454692, -0.095768, +0.272939, +9.643844, -0.025541, -0.014899, +0.003193, +69.518555, +1.613672, +37.726172, -0.136391, +0.172283, +9.590433, -0.041539, -0.002443, +0.039095, +53.418000, -37.004000, +55.854000,
112555770, -0.086191, +0.311246, +9.533711, -0.026606, -0.010642, +0.001064, +69.518555, +1.613672, +37.726172, -0.078963, +0.172283, +9.533005, -0.042761, -0.004887, +0.037874, +53.592000, -37.294000, +56.898000,
112656845, +0.014365, +0.306458, +9.691728, -0.026606, -0.015963, +0.003193, +69.518555, +1.613672, +37.726172, -0.043071, +0.172283, +9.504291, -0.040317, -0.002443, +0.034208, +53.592000, -37.236000, +56.898000,
112757937, -0.047884, +0.248997, +9.682152, -0.025541, -0.011706, +0.003193, +69.339844, -0.358594, +37.898438, -0.086142, +0.172283, +9.525827, -0.042761, -0.002443, +0.040317, +53.824000, -37.178000, +56.086000,
112859168, -0.076614, +0.339977, +9.825804, -0.024477, -0.013835, +0.001064, +69.339844, -0.358594, +37.898438, -0.064606, +0.179462, +9.647861, -0.042761, -0.013439, +0.034208, +53.650000, -37.816000, +55.738000,
112960264, -0.043096, +0.263362, +9.629479, -0.026606, -0.010642, +0.001064, +68.982422, +0.000000, +36.864844, -0.043071, +0.071785, +9.482756, -0.045204, -0.009774, +0.035430, +53.302000, -37.584000, +55.912000,
113061326, -0.095768, +0.229843, +9.753978, -0.026606, -0.012771, +0.002128, +68.982422, +0.000000, +36.864844, -0.064606, +0.143569, +9.698110, -0.040317, -0.004887, +0.039095, +53.418000, -37.352000, +56.260000,
113162382, -0.052672, +0.253785, +9.682152, -0.024477, -0.013835, +0.000000, +68.982422, +0.000000, +36.864844, -0.157926, +0.150748, +9.619147, -0.041539, -0.009774, +0.035430, +53.476000, -37.758000, +56.086000,
113263426, +0.153229, +0.244209, +9.739612, -0.024477, -0.011706, +0.000000, +68.446289, -0.179297, +36.003516, +0.014357, +0.093320, +9.568898, -0.039095, -0.008552, +0.040317, +53.476000, -37.294000, +55.970000,
113364473, -0.225055, +0.201113, +9.787496, -0.025541, -0.015963, -0.001064, +69.697266, +0.000000, +36.864844, -0.150748, +0.157926, +9.683753, -0.046426, -0.013439, +0.035430, +53.534000, -37.816000, +56.376000,
113465520, -0.071826, +0.296881, +9.639056, -0.025541, -0.012771, +0.001064, +69.697266, +0.717187, +35.831250, +0.014357, +0.129212, +9.712467, -0.043982, -0.008552, +0.036652, +53.302000, -38.048000, +55.332000,
113566577, -0.067038, +0.282516, +9.662998, -0.024477, -0.011706, +0.000000, +69.697266, +0.717187, +35.831250, -0.093320, +0.107677, +9.590433, -0.045204, -0.009774, +0.037874, +53.360000, -38.396000, +55.680000,
113667647, -0.100556, +0.282516, +9.768343, -0.028734, -0.017028, +0.002128, +68.625000, +1.075781, +36.520313, -0.129212, +0.186640, +9.719645, -0.040317, -0.009774, +0.036652, +53.070000, -37.700000, +56.608000,
113768733, +0.038307, +0.296881, +9.753978, -0.023413, -0.010642, +0.003193, +69.697266, +0.717187, +37.898438, +0.021535, +0.150748, +9.690932, -0.037874, -0.003665, +0.039095, +53.360000, -37.758000, +56.434000,
113869812, -0.162806, +0.282516, +9.576807, -0.028734, -0.011706, +0.003193, +67.552734, +0.000000, +37.209375, -0.193819, +0.100499, +9.568898, -0.045204, -0.000000, +0.032987, +53.012000, -37.352000, +56.666000,
113970866, +0.062249, +0.248997, +9.993398, -0.026606, -0.011706, +0.004257, +68.982422, +1.075781, +36.520313, -0.078963, +0.100499, +9.884750, -0.041539, -0.008552, +0.030543, +53.302000, -37.526000, +56.608000,
114071940, -0.033519, +0.306458, +9.639056, -0.026606, -0.012771, +0.003193, +68.803711, +0.537891, +36.692578, -0.035892, +0.100499, +9.554541, -0.048869, -0.008552, +0.040317, +52.780000, -37.584000, +55.854000,
114172994, -0.081403, +0.316035, +9.686940, -0.025541, -0.013835, +0.007450, +68.803711, +0.537891, +36.692578, -0.078963, +0.236889, +9.676575, -0.041539, -0.006109, +0.039095, +53.244000, -37.468000, +56.028000,
114274058, -0.095768, +0.325611, +9.725247, -0.026606, -0.011706, +0.002128, +69.875977, +0.179297, +36.692578, -0.150748, +0.136391, +9.626325, -0.042761, -0.000000, +0.035430, +53.592000, -36.714000, +55.970000,
114375109, -0.038307, +0.268151, +9.730036, -0.027670, -0.014899, +0.000000, +68.625000, +0.717187, +37.209375, -0.093320, +0.143569, +9.619147, -0.046426, -0.009774, +0.042761, +53.824000, -37.120000, +56.434000,
114476186, -0.167594, +0.239420, +9.504981, -0.027670, -0.011706, +0.000000, +68.625000, +1.792969, +36.864844, -0.186640, +0.100499, +9.568898, -0.042761, -0.007330, +0.040317, +53.360000, -37.178000, +56.144000,
114577245, -0.086191, +0.191536, +9.572018, -0.027670, -0.011706, +0.001064, +67.374023, +0.537891, +36.348047, -0.157926, +0.093320, +9.604790, -0.037874, -0.003665, +0.031765, +53.360000, -37.584000, +55.970000,
114678329, -0.143652, +0.268151, +9.768343, -0.025541, -0.014899, +0.002128, +67.374023, +0.537891, +36.348047, -0.057428, +0.086142, +9.662218, -0.045204, -0.002443, +0.037874, +53.360000, -37.700000, +56.144000,
114796385, -0.071826, +0.220267, +9.715670, -0.025541, -0.012771, -0.001064, +67.910156, +1.434375, +36.520313, -0.007178, +0.050249, +9.690932, -0.048869, -0.006109, +0.042761, +53.998000, -37.642000, +55.390000,
114897485, -0.047884, +0.277727, +9.648633, -0.027670, -0.010642, +0.000000, +67.910156, -0.358594, +37.898438, -0.021535, +0.100499, +9.626325, -0.040317, -0.007330, +0.035430, +53.708000, -37.236000, +55.042000,
114998570, -0.071826, +0.325611, +9.739612, -0.025541, -0.009578, +0.001064, +67.910156, -0.358594, +37.898438, -0.122034, +0.222533, +9.604790, -0.046426, -0.002443, +0.040317, +53.360000, -37.526000, +55.042000,
115099651, -0.004788, +0.205901, +9.667786, -0.024477, -0.013835, +0.002128, +68.982422, +1.075781, +36.864844, +0.028714, +0.129212, +9.676575, -0.046426, -0.001222, +0.035430, +53.534000, -37.642000, +55.390000,
115200729, -0.114922, +0.253785, +9.821015, -0.027670, -0.010642, +0.004257, +68.982422, +1.075781, +36.864844, -0.150748, +0.129212, +9.533005, -0.041539, -0.001222, +0.034208, +53.476000, -37.120000, +56.086000,
115301787, -0.114922, +0.268151, +9.902418, -0.026606, -0.013835, +0.002128, +68.982422, +1.075781, +36.864844, -0.028714, +0.093320, +9.698110, -0.050091, -0.006109, +0.035430, +53.418000, -37.816000, +55.738000,
115402839, -0.067038, +0.296881, +9.816227, -0.024477, -0.010642, +0.002128, +69.161133, +0.896484, +37.726172, -0.114855, +0.157926, +9.590433, -0.045204, -0.003665, +0.035430, +53.766000, -37.410000, +56.318000,
115503915, -0.028730, +0.392649, +9.868899, -0.026606, -0.010642, +0.002128, +67.910156, +0.358594, +36.520313, -0.100499, +0.078963, +9.683753, -0.045204, -0.009774, +0.039095, +53.998000, -38.686000, +55.912000,
115604977, -0.090980, +0.253785, +9.658209, -0.022349, -0.007450, -0.002128, +69.339844, +0.717187, +36.864844, -0.122034, +0.078963, +9.547362, -0.045204, -0.006109, +0.036652, +53.708000, -37.932000, +55.738000,
115706054, -0.076614, +0.296881, +9.945514, -0.028734, -0.011706, +0.001064, +69.161133, +0.896484, +36.692578, -0.071785, +0.064606, +9.726824, -0.045204, -0.002443, +0.034208, +53.592000, -37.352000, +56.608000,
115807103, +0.033519, +0.225055, +9.749189, -0.023413, -0.013835, +0.002128, +69.161133, +0.896484, +36.692578, -0.086142, +0.157926, +9.647861, -0.041539, -0.003665, +0.032987, +53.070000, -37.816000, +56.086000,
115908209, -0.038307, +0.239420, +9.600749, -0.026606, -0.012771, +0.003193, +68.625000, +0.717187, +37.209375, -0.179462, +0.107677, +9.554541, -0.047647, -0.008552, +0.035430, +53.186000, -37.932000, +55.854000,
116009269, -0.033519, +0.296881, +9.753978, -0.023413, -0.014899, +0.000000, +67.910156, +0.000000, +36.864844, -0.122034, +0.208176, +9.676575, -0.043982, -0.006109, +0.047647, +53.708000, -37.642000, +56.608000,
116110338, -0.076614, +0.306458, +9.821015, -0.027670, -0.013835, +0.002128, +68.982422, +0.000000, +35.486719, -0.078963, +0.107677, +9.619147, -0.039095, -0.003665, +0.032987, +53.766000, -37.700000, +55.912000,
116211397, -0.023942, +0.287304, +9.720459, -0.027670, -0.014899, +0.001064, +69.161133, +0.896484, +38.070703, -0.007178, +0.107677, +9.511470, -0.043982, -0.010996, +0.037874, +53.592000, -37.352000, +56.550000,
116312477, -0.086191, +0.172383, +9.701305, -0.023413, -0.011706, +0.001064, +68.625000, +1.434375, +37.209375, -0.143569, +0.136391, +9.619147, -0.039095, -0.010996, +0.037874, +53.302000, -38.396000, +55.680000,
116413528, -0.105345, +0.248997, +9.715670, -0.027670, -0.012771, +0.002128, +68.625000, +1.434375, +37.209375, -0.000000, +0.165105, +9.690932, -0.048869, -0.008552, +0.032987, +52.664000, -37.584000, +56.086000,
116514579, +0.000000, +0.335188, +9.562441, -0.026606, -0.009578, +0.003193, +67.016602, -0.179297, +36.692578, -0.064606, +0.172283, +9.540184, -0.037874, -0.000000, +0.037874, +53.650000, -37.236000, +56.434000,
116615632, -0.004788, +0.258574, +9.816227, -0.027670, -0.012771, +0.003193, +69.161133, +1.613672, +37.381641, +0.007178, +0.114855, +9.640682, -0.043982, -0.002443, +0.041539, +53.360000, -37.120000, +55.448000,
116716815, -0.043096, +0.181959, +9.811438, -0.023413, -0.009578, +0.000000, +68.267578, -1.075781, +35.142187, -0.114855, +0.100499, +9.676575, -0.045204, -0.010996, +0.039095, +53.824000, -37.700000, +55.680000,
116817890, -0.129287, +0.215478, +9.677363, -0.027670, -0.012771, +0.002128, +69.875977, +0.896484, +37.381641, -0.165105, +0.114855, +9.561719, -0.041539, -0.008552, +0.036652, +53.708000, -37.410000, +55.158000,
116918944, -0.067038, +0.215478, +9.686940, -0.024477, -0.011706, +0.003193, +69.875977, +0.896484, +37.381641, -0.107677, +0.157926, +9.611968, -0.041539, -0.009774, +0.037874, +53.592000, -37.526000, +55.738000,
117019996, -0.148441, +0.296881, +9.605537, -0.024477, -0.012771, +0.001064, +68.803711, +2.330859, +36.692578, -0.222533, +0.172283, +9.576076, -0.041539, -0.002443, +0.039095, +53.186000, -38.106000, +56.840000,
117121081, -0.067038, +0.229843, +9.562441, -0.026606, -0.013835, +0.002128, +68.803711, +0.896484, +37.037109, -0.122034, +0.136391, +9.611968, -0.046426, -0.004887, +0.041539, +53.128000, -37.352000, +55.390000,
117222143, -0.033519, +0.215478, +9.763554, -0.024477, -0.012771, +0.004257, +69.161133, +0.537891, +37.381641, -0.143569, +0.186640, +9.583255, -0.043982, -0.009774, +0.032987, +52.432000, -37.236000, +55.796000,
117323221, +0.043096, +0.258574, +9.648633, -0.025541, -0.010642, +0.000000, +68.803711, -0.179297, +36.003516, +0.021535, +0.093320, +9.619147, -0.040317, -0.004887, +0.034208, +53.360000, -36.830000, +56.086000,
117424276, -0.014365, +0.277727, +9.691728, -0.021284, -0.010642, +0.002128, +68.803711, -0.179297, +36.003516, -0.000000, +0.100499, +9.604790, -0.041539, -0.001222, +0.034208, +53.128000, -37.120000, +55.448000,
117525362, -0.033519, +0.277727, +9.706094, -0.026606, -0.014899, +0.002128, +68.625000, +1.075781, +37.209375, -0.129212, +0.165105, +9.619147, -0.048869, -0.009774, +0.040317, +53.186000, -37.410000, +55.390000,
117626417, -0.138864, +0.301669, +9.773131, -0.022349, -0.009578, +0.003193, +68.267578, +0.358594, +38.587500, -0.114855, +0.179462, +9.640682, -0.046426, -0.015882, +0.040317, +53.186000, -37.584000, +55.912000,
117727497, +0.014365, +0.258574, +9.701305, -0.027670, -0.014899, +0.003193, +69.339844, +0.358594, +36.864844, -0.071785, +0.122034, +9.597611, -0.039095, -0.004887, +0.034208, +53.360000, -37.352000, +55.042000,
117828562, -0.095768, +0.301669, +9.715670, -0.022349, -0.011706, +0.001064, +68.803711, +0.896484, +36.692578, -0.086142, +0.157926, +9.590433, -0.046426, -0.006109, +0.035430, +53.012000, -37.294000, +56.318000,
117929641, -0.129287, +0.296881, +9.730036, -0.025541, -0.012771, +0.002128, +68.803711, +0.896484, +36.692578, -0.179462, +0.157926, +9.669396, -0.043982, -0.002443, +0.040317, +53.012000, -37.352000, +55.970000,
118030700, +0.019154, +0.287304, +9.739612, -0.025541, -0.012771, +0.001064, +69.339844, +0.358594, +37.553906, -0.007178, +0.150748, +9.626325, -0.045204, -0.006109, +0.035430, +52.954000, -37.236000, +55.622000,
118131776, +0.004788, +0.287304, +9.768343, -0.028734, -0.012771, +0.000000, +69.339844, +0.358594, +37.553906, -0.064606, +0.014357, +9.597611, -0.043982, -0.012217, +0.036652, +52.780000, -37.294000, +54.926000,
118232840, -0.038307, +0.316035, +9.782708, -0.028734, -0.015963, +0.002128, +68.803711, +1.255078, +36.692578, -0.050249, +0.129212, +9.705288, -0.040317, -0.006109, +0.035430, +52.838000, -37.874000, +55.390000,
118333917, -0.067038, +0.263362, +9.773131, -0.027670, -0.013835, +0.001064, +67.910156, +1.434375, +35.831250, -0.093320, +0.086142, +9.662218, -0.047647, -0.002443, +0.036652, +52.548000, -37.700000, +55.738000,
118434958, -0.023942, +0.215478, +9.931148, -0.026606, -0.013835, +0.003193, +68.267578, +0.717187, +36.864844, -0.122034, +0.114855, +9.676575, -0.045204, -0.006109, +0.030543, +53.244000, -37.816000, +55.506000,
118536050, -0.081403, +0.239420, +9.567230, -0.024477, -0.011706, +0.003193, +68.267578, +0.717187, +36.864844, -0.165105, +0.122034, +9.511470, -0.036652, -0.013439, +0.034208, +52.838000, -37.178000, +55.158000,
118637228, -0.086191, +0.220267, +9.653421, -0.025541, -0.015963, +0.003193, +68.267578, -0.717187, +36.864844, -0.122034, +0.186640, +9.547362, -0.041539, -0.008552, +0.037874, +53.128000, -37.468000, +55.796000,
118738347, -0.033519, +0.162806, +9.801862, -0.023413, -0.009578, -0.001064, +68.267578, +1.434375, +36.864844, -0.064606, +0.114855, +9.561719, -0.047647, +0.004887, +0.042761, +53.012000, -37.584000, +56.376000,
118839432, -0.071826, +0.268151, +9.753978, -0.024477, -0.011706, +0.001064, +67.910156, +1.434375, +36.864844, -0.028714, +0.157926, +9.533005, -0.042761, -0.004887, +0.039095, +53.186000, -37.004000, +57.304000,
118940533, +0.014365, +0.234632, +9.883264, -0.027670, -0.013835, +0.002128, +68.267578, +2.151562, +35.831250, -0.100499, +0.114855, +9.597611, -0.035430, -0.000000, +0.039095, +53.186000, -37.410000, +55.970000,
119041629, -0.086191, +0.239420, +9.806650, -0.024477, -0.015963, +0.003193, +68.267578, +2.151562, +35.831250, -0.129212, +0.078963, +9.748359, -0.047647, -0.009774, +0.035430, +52.954000, -37.816000, +55.796000,
119142703, -0.023942, +0.239420, +9.739612, -0.027670, -0.013835, +0.002128, +69.518555, +0.896484, +37.381641, -0.043071, +0.186640, +9.583255, -0.050091, -0.007330, +0.036652, +52.896000, -37.584000, +56.492000,
119243791, +0.014365, +0.225055, +9.883264, -0.026606, -0.011706, +0.004257, +68.088867, +1.255078, +37.037109, -0.100499, +0.136391, +9.676575, -0.043982, -0.010996, +0.037874, +53.244000, -37.758000, +56.840000,
119344870, -0.062249, +0.268151, +9.682152, -0.026606, -0.013835, +0.000000, +68.088867, +1.255078, +37.037109, -0.122034, +0.107677, +9.633504, -0.047647, -0.000000, +0.040317, +52.838000, -37.642000, +56.550000,
119445961, -0.062249, +0.277727, +9.715670, -0.023413, -0.012771, +0.002128, +69.161133, -0.179297, +37.726172, -0.129212, +0.129212, +9.547362, -0.047647, -0.001222, +0.036652, +53.302000, -38.106000, +56.550000,
119547021, -0.110133, +0.239420, +9.696517, -0.027670, -0.015963, +0.002128, +69.161133, -0.179297, +37.726172, -0.043071, +0.157926, +9.655039, -0.046426, -0.003665, +0.035430, +53.070000, -37.526000, +55.796000,
119648131, -0.095768, +0.239420, +9.792285, -0.024477, -0.013835, +0.004257, +69.161133, -0.179297, +37.726172, -0.078963, +0.136391, +9.719645, -0.040317, -0.002443, +0.032987, +53.186000, -37.584000, +56.666000,
119749199, -0.143652, +0.282516, +9.672575, -0.028734, -0.014899, +0.000000, +69.339844, +2.151562, +36.175781, -0.157926, +0.165105, +9.525827, -0.043982, -0.006109, +0.037874, +52.664000, -37.642000, +55.622000,
119850280, -0.086191, +0.354342, +9.648633, -0.028734, -0.014899, +0.003193, +67.731445, +0.179297, +36.348047, -0.064606, +0.093320, +9.576076, -0.043982, -0.014661, +0.040317, +52.722000, -38.222000, +55.622000,
119951335, -0.004788, +0.191536, +9.658209, -0.026606, -0.014899, +0.000000, +69.339844, +1.792969, +35.142187, -0.107677, +0.071785, +9.533005, -0.039095, -0.004887, +0.042761, +52.838000, -37.990000, +55.738000,
120052418, -0.047884, +0.162806, +9.658209, -0.028734, -0.008514, +0.002128, +69.339844, +1.792969, +35.142187, -0.000000, +0.179462, +9.655039, -0.043982, -0.008552, +0.039095, +53.360000, -37.584000, +55.332000,
120153492, +0.014365, +0.258574, +9.662998, -0.025541, -0.012771, +0.003193, +69.339844, +1.792969, +35.142187, -0.035892, +0.057428, +9.640682, -0.043982, -0.007330, +0.037874, +52.664000, -38.164000, +55.622000,
120254580, -0.095768, +0.196325, +9.811438, -0.022349, -0.011706, +0.001064, +67.910156, +1.075781, +38.587500, -0.007178, +0.100499, +9.655039, -0.041539, -0.000000, +0.035430, +52.954000, -37.410000, +55.854000,
120355663, -0.038307, +0.263362, +9.629479, -0.022349, -0.010642, +0.002128, +67.910156, +1.075781, +38.587500, -0.107677, +0.129212, +9.676575, -0.043982, +0.001222, +0.039095, +53.244000, -37.526000, +56.260000,
120456751, -0.071826, +0.258574, +9.797073, -0.027670, -0.010642, +0.002128, +69.697266, +3.585938, +37.553906, -0.071785, +0.064606, +9.633504, -0.041539, -0.007330, +0.039095, +53.186000, -38.222000, +55.970000,
120557844, +0.014365, +0.272939, +9.672575, -0.024477, -0.010642, +0.002128, +69.697266, +3.585938, +37.553906, -0.064606, +0.157926, +9.626325, -0.043982, -0.006109, +0.036652, +53.128000, -37.352000, +55.738000,
120674724, -0.057461, +0.306458, +9.849746, -0.025541, -0.013835, +0.003193, +68.625000, +0.358594, +36.175781, +0.007178, +0.157926, +9.669396, -0.045204, -0.010996, +0.036652, +53.186000, -37.990000, +55.622000,
120775818, -0.086191, +0.306458, +9.725247, -0.027670, -0.010642, +0.002128, +68.625000, +0.358594, +36.175781, -0.050249, +0.122034, +9.640682, -0.042761, -0.006109, +0.037874, +53.128000, -38.338000, +55.738000,
120876871, -0.062249, +0.234632, +9.648633, -0.026606, -0.011706, +0.004257, +68.625000, +0.358594, +36.175781, -0.078963, +0.150748, +9.554541, -0.043982, -0.006109, +0.030543, +52.896000, -37.062000, +56.028000,
120977964, -0.086191, +0.296881, +9.662998, -0.025541, -0.011706, +0.001064, +67.016602, +1.255078, +36.692578, -0.193819, +0.186640, +9.619147, -0.043982, -0.007330, +0.036652, +53.244000, -37.468000, +55.912000,
121079024, -0.148441, +0.258574, +9.662998, -0.027670, -0.013835, +0.002128, +68.982422, +0.358594, +35.831250, -0.050249, +0.114855, +9.525827, -0.043982, -0.010996, +0.037874, +53.360000, -37.352000, +55.622000,
121180090, -0.071826, +0.220267, +9.643844, -0.026606, -0.014899, +0.001064, +67.731445, +1.255078, +37.037109, -0.093320, +0.272782, +9.604790, -0.046426, -0.007330, +0.037874, +53.302000, -37.178000, +56.086000,
121281151, -0.019154, +0.201113, +9.710882, -0.022349, -0.010642, +0.003193, +67.731445, +1.255078, +37.037109, -0.050249, +0.193819, +9.604790, -0.045204, -0.002443, +0.040317, +52.780000, -37.062000, +55.680000,
121382214, +0.000000, +0.239420, +9.696517, -0.023413, -0.010642, +0.003193, +70.590820, +1.255078, +36.348047, -0.050249, +0.064606, +9.619147, -0.040317, -0.001222, +0.039095, +53.360000, -37.468000, +55.796000,
121483280, -0.086191, +0.277727, +9.739612, -0.026606, -0.011706, +0.003193, +67.374023, +0.179297, +36.692578, -0.007178, +0.136391, +9.511470, -0.041539, -0.003665, +0.035430, +53.070000, -37.120000, +55.390000,
121584320, -0.014365, +0.263362, +9.701305, -0.027670, -0.010642, +0.003193, +66.837891, +1.792969, +36.520313, -0.078963, +0.057428, +9.698110, -0.043982, -0.001222, +0.037874, +53.012000, -37.120000, +54.752000,
121685383, -0.105345, +0.229843, +9.672575, -0.025541, -0.011706, +0.003193, +68.446289, +0.896484, +38.070703, -0.043071, +0.107677, +9.669396, -0.045204, -0.004887, +0.039095, +53.360000, -37.294000, +55.622000,
