time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
2730507, -0.119710, +0.225055, +9.821015, -0.026606, -0.012771, +0.000000, +67.731445, +0.896484, +36.348047, -0.129212, +0.057428, +9.554541, -0.048869, -0.009774, +0.037874, +53.360000, -37.294000, +56.956000,
2831641, -0.014365, +0.268151, +9.686940, -0.023413, -0.010642, +0.003193, +69.518555, +0.537891, +37.726172, -0.093320, +0.100499, +9.647861, -0.047647, -0.004887, +0.039095, +53.360000, -37.526000, +56.434000,
2932755, -0.086191, +0.253785, +9.591172, -0.024477, -0.012771, +0.003193, +69.518555, -0.179297, +36.692578, -0.028714, +0.100499, +9.633504, -0.041539, -0.006109, +0.034208, +53.012000, -36.772000, +56.492000,
3033821, -0.095768, +0.325611, +9.739612, -0.025541, -0.014899, +0.002128, +68.625000, -0.358594, +38.242969, -0.179462, +0.086142, +9.669396, -0.043982, -0.007330, +0.036652, +52.664000, -36.598000, +56.318000,
3134865, -0.028730, +0.229843, +9.725247, -0.026606, -0.011706, +0.003193, +69.161133, -0.179297, +36.348047, -0.114855, +0.093320, +9.633504, -0.041539, -0.009774, +0.040317, +53.128000, -37.410000, +56.782000,
3235917, -0.009577, +0.201113, +9.763554, -0.025541, -0.009578, +0.000000, +68.267578, -0.358594, +36.175781, -0.150748, +0.172283, +9.690932, -0.048869, -0.009774, +0.041539, +53.302000, -37.236000, +55.680000,
3336989, -0.014365, +0.325611, +9.835380, -0.028734, -0.012771, +0.001064, +68.267578, -0.358594, +36.175781, -0.100499, +0.129212, +9.611968, -0.040317, -0.006109, +0.037874, +53.418000, -37.874000, +56.028000,
3438078, -0.067038, +0.296881, +9.806650, -0.025541, -0.013835, +0.003193, +70.054688, +0.000000, +37.209375, -0.057428, +0.093320, +9.626325, -0.046426, -0.006109, +0.037874, +53.302000, -37.526000, +56.782000,
3539162, -0.004788, +0.292093, +9.715670, -0.026606, -0.010642, +0.001064, +67.910156, +0.717187, +36.520313, -0.007178, +0.122034, +9.590433, -0.051313, -0.010996, +0.028100, +52.722000, -37.584000, +55.970000,
3640231, -0.114922, +0.239420, +9.749189, -0.025541, -0.014899, +0.002128, +69.161133, +0.896484, +36.348047, -0.172283, +0.107677, +9.626325, -0.041539, -0.009774, +0.043982, +53.186000, -37.120000, +55.158000,
